id;date;exercice;meals;alcohol;notes
1;2023-11-28;6198;38418;57707;withdrawal Bedfordshire Analyst
2;2023-11-28;2388;1106;9423;Account Garden New
3;2023-11-28;76967;8783;81008;e-business override bandwidth
4;2023-11-27;14053;35227;55062;dynamic Concrete
5;2023-11-28;3838;53842;86262;Drive Research
6;2023-11-27;88201;96453;19830;XSS
7;2023-11-28;45449;51221;53191;interfaces Frozen
8;2023-11-28;98590;58178;44831;program payment
9;2023-11-28;45405;85555;60037;transparent green robust
10;2023-11-28;9401;94414;46576;seize synthesize
